account_id,customer_id,account_type,account_status,opened_date
ACC000073,CUST000499,Current,Active,2026-05-11
ACC000074,CUST000290,Savings,Active,2021-01-20
ACC000075,CUST000361,Current,Active,2023-09-18
ACC000076,CUST000291,Savings,Active,2020-03-30
ACC000077,CUST000278,Current,Active,2021-09-07
ACC000078,CUST000298,Current,Active,2022-07-22
ACC000079,CUST000653,Current,Active,2025-06-07
ACC000080,CUST000612,Current,Active,2022-11-30
ACC000081,CUST000787,Current,Active,2020-04-25
ACC000082,CUST000088,Current,Dormant,2021-05-11
ACC000083,CUST000802,Savings,Active,2024-12-22
ACC000084,CUST000321,Current,Active,2022-07-10
ACC000085,CUST000478,Current,Active,2026-03-21
ACC000086,CUST000432,Current,Active,2023-02-21
ACC000087,CUST000383,Current,Active,2020-03-10
ACC000088,CUST000866,Current,Active,2026-06-19
ACC000089,CUST000896,Current,Active,2025-08-01
ACC000090,CUST000666,Current,Active,2023-04-09
ACC000091,CUST000340,Savings,Active,2019-12-22
ACC000092,CUST000735,Current,Active,2024-11-29
ACC000093,CUST000140,Current,Active,2024-10-18
ACC000094,CUST000737,Business,Active,2021-02-02
ACC000095,CUST000118,Current,Active,2025-03-04
ACC000096,CUST000210,Current,Active,2020-11-10
ACC000097,CUST000949,Current,Active,2024-06-20
ACC000098,CUST000560,Current,Active,2021-08-09
ACC000099,CUST000443,Current,Active,2024-12-09
ACC000100,CUST000175,Current,Active,2024-04-14
ACC000101,CUST000297,Current,Dormant,2021-01-01
ACC000102,CUST000401,Current,Active,2021-04-30
ACC000103,CUST000152,Current,Active,2020-03-15
ACC000104,CUST000311,Current,Active,2021-07-19
ACC000105,CUST000364,Business,Active,2021-05-23
ACC000106,CUST000367,Current,Active,2024-03-02
ACC000107,CUST000538,Current,Active,2024-10-31
ACC000108,CUST000577,Current,Active,2024-12-17
ACC000109,CUST000675,Current,Active,2021-02-08
ACC000110,CUST000675,Current,Active,2020-11-04
ACC000111,CUST000133,Current,Active,2020-01-08
ACC000112,CUST000850,Current,Active,2024-09-30
ACC000113,CUST000109,Current,Active,2022-11-26
ACC000114,CUST000940,Savings,Active,2024-07-30
ACC000115,CUST000774,Business,Dormant,2025-11-01
ACC000116,CUST000039,Savings,Active,2022-05-01
ACC000117,CUST000031,Business,Active,2021-06-28
ACC000118,CUST000588,Current,Active,2021-01-09
ACC000119,CUST000231,Current,Active,2020-08-09
ACC000120,CUST000025,Current,Active,2024-04-01
ACC000121,CUST000915,Current,Active,2020-02-27
ACC000122,CUST000349,Current,Active,2020-08-10
ACC000123,CUST000213,Current,Active,2022-08-01
ACC000124,CUST000573,Savings,Active,2021-08-11
ACC000125,CUST000895,Current,Active,2020-09-24
ACC000126,CUST000511,Current,Active,2022-10-27
ACC000127,CUST000964,Current,Active,2022-02-24
ACC000128,CUST000894,Savings,Dormant,2025-09-09
ACC000129,CUST000874,Current,Active,2023-01-12
ACC000130,CUST000560,Current,Active,2021-04-01
ACC000131,CUST000034,Current,Active,2022-10-12
ACC000132,CUST000561,Savings,Active,2025-10-31
ACC000133,CUST000825,Business,Active,2026-02-19
ACC000134,CUST000613,Savings,Dormant,2020-05-07
ACC000135,CUST000741,Current,Active,2020-11-02
ACC000136,CUST000442,Current,Active,2023-12-24
ACC000137,CUST000027,Savings,Active,2020-07-15
ACC000138,CUST000699,Current,Active,2021-02-15
ACC000139,CUST000387,Current,Active,2021-09-28
ACC000140,CUST000449,Current,Active,2022-05-29
ACC000141,CUST000448,Business,Active,2025-07-01
ACC000142,CUST000423,Savings,Active,2020-07-07
ACC000143,CUST000016,Savings,Active,2025-11-23
ACC000144,CUST000450,Current,Active,2022-08-10
ACC000145,CUST000251,Business,Active,2022-01-26
ACC000146,CUST000673,Current,Active,2020-06-08
ACC000147,CUST000753,Savings,Active,2024-01-23
ACC000148,CUST000965,Current,Active,2023-10-16
ACC000149,CUST000327,Current,Active,2025-12-04
ACC000150,CUST000723,Business,Active,2025-08-26
ACC000151,CUST000862,Business,Active,2020-05-01
ACC000152,CUST000743,Savings,Active,2023-11-23
ACC000153,CUST000783,Current,Active,2020-12-08
ACC000154,CUST000603,Current,Active,2025-08-01
ACC000155,CUST000625,Current,Active,2022-03-29
ACC000156,CUST000230,Current,Active,2021-09-11
ACC000157,CUST000313,Current,Active,2026-03-28
ACC000158,CUST000345,Business,Active,2019-11-27
ACC000159,CUST000350,Savings,Active,2021-09-25
ACC000160,CUST000771,Current,Active,2022-03-06
ACC000161,CUST000295,Savings,Dormant,2021-05-02
ACC000162,CUST000582,Savings,Active,2022-04-04
ACC000163,CUST000244,Current,Active,2023-06-16
ACC000164,CUST000556,Current,Active,2026-02-04
ACC000165,CUST000276,Current,Active,2019-09-18
ACC000166,CUST000583,Current,Active,2024-07-11
ACC000167,CUST000451,Current,Active,2022-07-05
ACC000168,CUST000570,Current,Active,2025-08-22
ACC000169,CUST000565,Current,Active,2024-07-07
ACC000170,CUST000283,Current,Active,2023-12-24
ACC000171,CUST000893,Current,Active,2025-03-31
ACC000172,CUST000701,Current,Active,2022-12-22
ACC000173,CUST000234,Current,Active,2023-08-17
ACC000174,CUST000866,Savings,Active,2026-01-10
ACC000175,CUST000112,Current,Active,2020-10-19
ACC000176,CUST000334,Current,Active,2021-11-13
ACC000177,CUST000897,Current,Active,2019-09-22
ACC000178,CUST000919,Current,Active,2023-03-26
ACC000179,CUST000378,Current,Dormant,2019-11-26
ACC000180,CUST000217,Savings,Active,2020-10-30
ACC000181,CUST000963,Current,Active,2026-03-01
ACC000182,CUST000391,Savings,Active,2025-08-31
ACC000183,CUST000589,Current,Active,2020-06-26
ACC000184,CUST000900,Current,Active,2021-03-26
ACC000185,CUST000452,Current,Active,2020-01-30
ACC000186,CUST000337,Current,Active,2022-06-22
ACC000187,CUST000767,Business,Active,2021-07-16
ACC000188,CUST000371,Current,Active,2025-09-03
ACC000189,CUST000620,Current,Active,2023-12-14
ACC000190,CUST000129,Business,Active,2021-12-16
ACC000191,CUST000142,Current,Active,2022-09-13
ACC000192,CUST000419,Current,Closed,2020-01-27
ACC000193,CUST000792,Current,Active,2021-06-10
ACC000194,CUST000429,Current,Active,2021-04-05
ACC000195,CUST000891,Current,Active,2024-08-29
ACC000196,CUST000888,Current,Active,2021-10-18
ACC000197,CUST000714,Current,Active,2025-03-13
ACC000198,CUST000920,Current,Active,2025-04-27
ACC000199,CUST000757,Business,Dormant,2021-12-11
ACC000200,CUST000855,Current,Active,2025-01-07
ACC000201,CUST000785,Current,Active,2020-10-26
ACC000202,CUST000008,Current,Active,2021-06-12
ACC000203,CUST000181,Current,Active,2025-06-12
ACC000204,CUST000350,Current,Active,2020-08-21
ACC000205,CUST000951,Current,Active,2022-12-17
ACC000206,CUST000834,Business,Active,2024-03-03
ACC000207,CUST000589,Savings,Active,2022-08-21
ACC000208,CUST000295,Current,Active,2024-08-19
ACC000209,CUST000621,Savings,Dormant,2023-05-29
ACC000210,CUST000566,Savings,Active,2026-03-22
ACC000211,CUST000983,Savings,Active,2024-05-05
ACC000212,CUST000843,Current,Active,2020-02-16
ACC000213,CUST000534,Current,Active,2025-04-20
ACC000214,CUST000866,Current,Active,2020-12-31
ACC000215,CUST000141,Business,Active,2025-03-23
ACC000216,CUST000763,Savings,Active,2022-11-12
ACC000217,CUST000283,Current,Active,2025-09-12
ACC000218,CUST000914,Business,Active,2020-09-07
ACC000219,CUST000572,Current,Active,2026-02-17
ACC000220,CUST000252,Current,Active,2024-01-23
ACC000221,CUST000482,Current,Active,2020-12-17
ACC000222,CUST000651,Savings,Dormant,2024-02-17
ACC000223,CUST000503,Current,Active,2024-07-14
ACC000224,CUST000270,Current,Active,2023-11-24
ACC000225,CUST000544,Current,Active,2023-03-02
ACC000226,CUST000685,Current,Active,2022-02-17
ACC000227,CUST000493,Current,Active,2023-04-24
ACC000228,CUST000254,Current,Active,2021-04-27
ACC000229,CUST000356,Current,Active,2021-02-08
ACC000230,CUST000704,Current,Active,2020-11-03
ACC000231,CUST000802,Current,Active,2022-11-28
ACC000232,CUST000422,Current,Active,2022-01-23
ACC000233,CUST000275,Current,Active,2026-01-08
ACC000234,CUST000227,Current,Active,2024-03-20
ACC000235,CUST000626,Current,Active,2026-04-22
ACC000236,CUST000389,Current,Active,2022-07-29
ACC000237,CUST000051,Current,Active,2024-04-22
ACC000238,CUST000406,Savings,Active,2024-09-20
ACC000239,CUST000221,Current,Active,2026-05-19
ACC000240,CUST000774,Business,Active,2022-01-26
ACC000241,CUST000290,Current,Active,2023-10-05
ACC000242,CUST000127,Savings,Active,2022-01-14
ACC000243,CUST000898,Current,Active,2025-09-13
ACC000244,CUST000781,Savings,Active,2020-06-15
ACC000245,CUST000098,Savings,Active,2024-05-08
ACC000246,CUST000804,Current,Active,2026-04-09
ACC000247,CUST000208,Current,Dormant,2020-01-26
ACC000248,CUST000440,Current,Dormant,2020-03-29
ACC000249,CUST000930,Savings,Active,2022-03-30
ACC000250,CUST000404,Business,Active,2025-04-26
ACC000251,CUST000999,Current,Active,2021-07-08
ACC000252,CUST000112,Current,Active,2025-08-05
ACC000253,CUST000213,Savings,Active,2023-09-24
ACC000254,CUST000632,Savings,Active,2020-03-06
ACC000255,CUST000506,Current,Active,2022-09-29
ACC000256,CUST000706,Current,Active,2026-06-21
ACC000257,CUST000774,Current,Active,2020-12-04
ACC000258,CUST000330,Current,Active,2020-04-22
ACC000259,CUST000944,Current,Active,2022-04-27
ACC000260,CUST000166,Current,Active,2024-04-26
ACC000261,CUST000040,Savings,Active,2020-08-25
ACC000262,CUST000896,Current,Active,2023-03-16
ACC000263,CUST000738,Business,Active,2020-09-02
ACC000264,CUST000381,Current,Active,2023-04-11
ACC000265,CUST000823,Current,Active,2020-09-14
ACC000266,CUST000474,Current,Active,2025-01-05
ACC000267,CUST000850,Current,Active,2024-07-09
ACC000268,CUST000006,Current,Active,2025-06-23
ACC000269,CUST000097,Current,Active,2024-10-11
ACC000270,CUST000573,Savings,Active,2026-05-17
ACC000271,CUST000841,Business,Active,2023-02-07
ACC000272,CUST000413,Business,Active,2024-04-05
ACC000273,CUST000106,Savings,Active,2023-08-01
ACC000274,CUST000817,Current,Active,2022-03-28
ACC000275,CUST000874,Current,Active,2021-03-22
ACC000276,CUST000803,Current,Active,2024-11-20
ACC000277,CUST000896,Current,Active,2025-12-12
ACC000278,CUST000451,Current,Active,2023-02-19
ACC000279,CUST000247,Current,Active,2022-03-16
ACC000280,CUST000320,Savings,Active,2025-08-26
ACC000281,CUST000979,Current,Active,2023-06-01
ACC000282,CUST000448,Current,Active,2023-09-20
ACC000283,CUST000922,Current,Active,2026-04-01
ACC000284,CUST000790,Current,Active,2024-02-18
ACC000285,CUST000943,Business,Active,2024-07-09
ACC000286,CUST000453,Current,Active,2019-12-16
ACC000287,CUST000933,Current,Active,2026-05-20
ACC000288,CUST000663,Current,Active,2026-01-14
ACC000289,CUST000281,Current,Dormant,2026-03-10
ACC000290,CUST000623,Current,Active,2021-03-21
ACC000291,CUST000769,Current,Active,2022-05-22
ACC000292,CUST000731,Current,Active,2025-01-20
ACC000293,CUST000867,Current,Active,2025-10-31
ACC000294,CUST000558,Current,Active,2026-05-06
ACC000295,CUST000869,Savings,Active,2024-08-18
ACC000296,CUST000529,Current,Active,2021-11-10
ACC000297,CUST000067,Current,Active,2024-11-15
ACC000298,CUST000177,Current,Active,2024-04-20
ACC000299,CUST000178,Current,Active,2026-06-30
ACC000300,CUST000360,Current,Active,2025-07-25
ACC000301,CUST000091,Current,Active,2025-07-25
ACC000302,CUST000642,Business,Active,2026-06-01
ACC000303,CUST000472,Current,Active,2023-10-07
ACC000304,CUST000658,Business,Active,2025-01-16
ACC000305,CUST000723,Current,Active,2020-03-12
ACC000306,CUST000856,Current,Active,2024-07-18
ACC000307,CUST000451,Current,Active,2020-01-16
ACC000308,CUST000658,Current,Active,2024-08-14
ACC000309,CUST000395,Current,Active,2021-08-31
ACC000310,CUST000699,Savings,Active,2020-11-17
ACC000311,CUST000814,Current,Active,2024-03-02
ACC000312,CUST000268,Current,Active,2024-06-10
ACC000313,CUST000601,Current,Active,2019-12-07
ACC000314,CUST000108,Current,Active,2026-06-11
ACC000315,CUST000343,Current,Active,2024-06-07
ACC000316,CUST000479,Current,Active,2021-08-09
ACC000317,CUST000590,Current,Active,2021-03-22
ACC000318,CUST000383,Current,Active,2022-01-12
ACC000319,CUST000899,Current,Dormant,2020-11-05
ACC000320,CUST000793,Current,Active,2019-11-18
ACC000321,CUST000171,Business,Active,2020-08-27
ACC000322,CUST000143,Current,Active,2025-12-05
ACC000323,CUST000785,Current,Active,2022-02-03
ACC000324,CUST000675,Current,Active,2023-02-25
ACC000325,CUST000242,Savings,Active,2023-10-15
ACC000326,CUST000866,Savings,Active,2024-09-29
ACC000327,CUST000564,Current,Active,2021-03-26
ACC000328,CUST000475,Savings,Active,2025-06-16
ACC000329,CUST000782,Business,Active,2022-11-12
ACC000330,CUST000748,Savings,Active,2020-07-17
ACC000331,CUST000686,Savings,Active,2024-01-16
ACC000332,CUST000241,Current,Active,2026-07-06
ACC000333,CUST000408,Business,Active,2024-12-25
ACC000334,CUST000217,Current,Active,2022-03-22
ACC000335,CUST000155,Current,Active,2021-02-21
ACC000336,CUST000184,Current,Active,2025-05-04
ACC000337,CUST000355,Current,Active,2021-12-30
ACC000338,CUST000132,Current,Active,2021-06-07
ACC000339,CUST000983,Current,Active,2025-12-02
ACC000340,CUST000760,Current,Active,2021-06-24
ACC000341,CUST000485,Savings,Active,2022-06-10
ACC000342,CUST000435,Current,Active,2025-08-20
ACC000343,CUST000971,Business,Active,2024-04-24
ACC000344,CUST000746,Savings,Active,2021-04-27
ACC000345,CUST000889,Current,Active,2019-10-23
ACC000346,CUST000436,Current,Active,2026-04-07
ACC000347,CUST000301,Current,Active,2022-11-22
ACC000348,CUST000611,Current,Active,2020-07-27
ACC000349,CUST000180,Current,Active,2024-11-27
ACC000350,CUST000915,Current,Dormant,2023-10-17
ACC000351,CUST000583,Current,Active,2022-05-09
ACC000352,CUST000742,Current,Active,2022-03-31
ACC000353,CUST000346,Business,Active,2021-10-17
ACC000354,CUST000974,Savings,Active,2025-08-23
ACC000355,CUST000197,Current,Closed,2020-10-06
ACC000356,CUST000250,Current,Active,2020-02-07
ACC000357,CUST000958,Current,Active,2024-06-13
ACC000358,CUST000047,Current,Active,2023-05-03
ACC000359,CUST000213,Current,Active,2025-01-28
ACC000360,CUST000614,Savings,Active,2025-06-11
ACC000361,CUST000727,Current,Active,2023-04-21
ACC000362,CUST000847,Current,Active,2019-11-09
ACC000363,CUST000488,Business,Active,2022-09-17
ACC000364,CUST000456,Current,Active,2020-12-08
ACC000365,CUST000175,Current,Active,2026-03-02
ACC000366,CUST000991,Current,Active,2022-08-29
ACC000367,CUST000543,Current,Active,2022-12-30
ACC000368,CUST000031,Current,Active,2022-08-02
ACC000369,CUST000784,Current,Dormant,2020-04-15
ACC000370,CUST000385,Business,Active,2019-09-22
ACC000371,CUST000224,Current,Active,2023-04-15
ACC000372,CUST000786,Savings,Active,2022-01-12
ACC000373,CUST000770,Current,Active,2023-05-28
ACC000374,CUST000646,Current,Active,2022-12-19
ACC000375,CUST000402,Current,Active,2021-04-30
ACC000376,CUST000461,Current,Active,2022-01-17
ACC000377,CUST000850,Current,Active,2024-08-06
ACC000378,CUST000393,Current,Active,2021-11-03
ACC000379,CUST000030,Current,Active,2020-11-20
ACC000380,CUST000750,Current,Active,2019-09-11
ACC000381,CUST000641,Current,Active,2022-05-19
ACC000382,CUST000905,Savings,Active,2020-10-18
ACC000383,CUST000166,Current,Active,2023-11-06
ACC000384,CUST000730,Business,Active,2023-03-31
ACC000385,CUST000212,Current,Active,2019-10-08
ACC000386,CUST000182,Business,Active,2025-04-13
ACC000387,CUST000894,Business,Active,2021-05-06
ACC000388,CUST000767,Current,Active,2020-09-13
ACC000389,CUST000073,Savings,Dormant,2020-07-04
ACC000390,CUST000622,Current,Active,2026-04-07
ACC000391,CUST000744,Current,Active,2026-01-31
ACC000392,CUST000950,Current,Active,2021-09-22
ACC000393,CUST000868,Current,Active,2025-04-11
ACC000394,CUST000423,Current,Active,2023-10-22
ACC000395,CUST000100,Current,Active,2021-05-23
ACC000396,CUST000251,Savings,Active,2021-07-18
ACC000397,CUST000717,Current,Active,2026-02-17
ACC000398,CUST000296,Current,Active,2020-03-18
ACC000399,CUST000315,Business,Active,2023-02-11
ACC000400,CUST000690,Current,Active,2025-02-02
ACC000401,CUST000880,Current,Active,2026-03-21
ACC000402,CUST000152,Current,Active,2020-10-28
ACC000403,CUST000416,Current,Active,2022-09-02
ACC000404,CUST000874,Current,Active,2022-04-17
ACC000405,CUST000892,Current,Active,2022-04-10
ACC000406,CUST000351,Current,Active,2024-11-06
ACC000407,CUST000747,Savings,Active,2022-07-14
ACC000408,CUST000935,Current,Active,2020-08-27
ACC000409,CUST000373,Current,Active,2025-06-04
ACC000410,CUST000278,Current,Active,2020-07-02
ACC000411,CUST000458,Current,Active,2023-08-29
ACC000412,CUST000959,Current,Active,2021-06-01
ACC000413,CUST000273,Current,Active,2024-05-25
ACC000414,CUST000066,Business,Active,2023-02-19
ACC000415,CUST000250,Current,Active,2021-04-29
ACC000416,CUST000801,Current,Active,2025-09-17
ACC000417,CUST000453,Current,Active,2020-06-12
ACC000418,CUST000499,Current,Active,2021-09-17
ACC000419,CUST000454,Savings,Active,2021-06-01
ACC000420,CUST000417,Current,Active,2024-07-20
ACC000421,CUST000527,Current,Active,2023-07-26
ACC000422,CUST000282,Current,Active,2021-08-06
ACC000423,CUST000500,Current,Active,2020-10-25
ACC000424,CUST000184,Current,Active,2023-02-12
ACC000425,CUST000454,Current,Active,2024-06-25
ACC000426,CUST000782,Current,Active,2023-02-09
ACC000427,CUST000484,Current,Active,2019-09-12
ACC000428,CUST000159,Current,Active,2022-02-02
ACC000429,CUST000625,Current,Active,2020-09-27
ACC000430,CUST000808,Current,Active,2023-12-20
ACC000431,CUST000877,Savings,Active,2023-02-05
ACC000432,CUST000850,Savings,Active,2021-10-04
ACC000433,CUST000428,Current,Dormant,2025-11-29
ACC000434,CUST000825,Current,Active,2023-06-16
ACC000435,CUST000208,Current,Active,2023-03-24
ACC000436,CUST000438,Savings,Active,2020-04-01
ACC000437,CUST000221,Current,Active,2023-06-17
ACC000438,CUST000165,Current,Active,2019-11-19
ACC000439,CUST000676,Current,Dormant,2021-01-26
ACC000440,CUST000601,Current,Active,2022-09-09
ACC000441,CUST000449,Business,Active,2025-01-08
ACC000442,CUST000794,Savings,Active,2024-11-03
ACC000443,CUST000205,Current,Active,2022-11-08
ACC000444,CUST000677,Current,Active,2023-04-06
ACC000445,CUST000791,Savings,Active,2023-01-05
ACC000446,CUST000457,Savings,Active,2022-12-06
ACC000447,CUST000371,Current,Active,2023-08-18
ACC000448,CUST000956,Current,Active,2021-12-04
ACC000449,CUST000499,Savings,Active,2025-11-08
ACC000450,CUST000580,Current,Active,2020-11-16
ACC000451,CUST000504,Current,Active,2025-10-11
ACC000452,CUST000095,Business,Active,2020-07-26
ACC000453,CUST000867,Savings,Active,2021-04-11
ACC000454,CUST000770,Current,Active,2023-06-05
ACC000455,CUST000902,Business,Active,2022-10-29
ACC000456,CUST000590,Current,Active,2021-09-06
ACC000457,CUST000301,Current,Active,2026-04-27
ACC000458,CUST000438,Current,Active,2019-12-23
ACC000459,CUST000546,Current,Active,2020-02-03
ACC000460,CUST000733,Savings,Active,2024-11-13
ACC000461,CUST000104,Current,Active,2026-02-02
ACC000462,CUST000978,Current,Active,2023-12-13
ACC000463,CUST000311,Current,Closed,2023-12-02
ACC000464,CUST000028,Current,Active,2021-08-08
ACC000465,CUST000027,Current,Active,2024-03-11
ACC000466,CUST000450,Current,Active,2022-04-06
ACC000467,CUST000096,Business,Active,2020-01-17
ACC000468,CUST000167,Savings,Active,2021-01-16
ACC000469,CUST000768,Business,Active,2024-03-04
ACC000470,CUST000369,Current,Active,2021-05-29
ACC000471,CUST000823,Current,Dormant,2025-05-30
ACC000472,CUST000857,Current,Dormant,2023-02-28
ACC000473,CUST000667,Current,Active,2021-03-31
ACC000474,CUST000663,Savings,Active,2023-09-28
ACC000475,CUST000132,Current,Active,2021-04-06
ACC000476,CUST000822,Current,Active,2023-03-31
ACC000477,CUST000844,Current,Active,2020-09-18
ACC000478,CUST000830,Current,Active,2025-04-21
ACC000479,CUST000209,Current,Active,2023-07-22
ACC000480,CUST000803,Current,Active,2021-04-03
ACC000481,CUST000148,Business,Active,2022-04-20
ACC000482,CUST000174,Current,Active,2024-01-13
ACC000483,CUST000116,Business,Active,2021-11-15
ACC000484,CUST000878,Current,Active,2023-01-15
ACC000485,CUST000925,Current,Active,2020-06-23
ACC000486,CUST000734,Current,Active,2020-02-16
ACC000487,CUST000528,Current,Dormant,2024-01-01
ACC000488,CUST000098,Savings,Active,2025-05-08
ACC000489,CUST000190,Savings,Active,2021-05-07
ACC000490,CUST000530,Current,Active,2025-01-20
ACC000491,CUST000678,Current,Active,2026-02-22
ACC000492,CUST000395,Current,Active,2024-06-27
ACC000493,CUST000035,Savings,Active,2022-01-30
ACC000494,CUST000493,Current,Active,2020-01-22
ACC000495,CUST000465,Current,Active,2025-03-17
ACC000496,CUST000787,Current,Active,2024-06-10
ACC000497,CUST000893,Current,Active,2025-06-12
ACC000498,CUST000782,Current,Active,2022-06-08
ACC000499,CUST000988,Current,Active,2021-05-27
ACC000500,CUST000730,Current,Active,2023-02-02
ACC000501,CUST000963,Current,Active,2020-11-14
ACC000502,CUST000964,Savings,Active,2024-12-09
ACC000503,CUST000018,Current,Active,2020-08-20
ACC000504,CUST000577,Savings,Active,2020-07-21
ACC000505,CUST000711,Business,Active,2022-05-02
ACC000506,CUST000170,Current,Active,2023-12-29
ACC000507,CUST000965,Business,Active,2024-04-06
ACC000508,CUST000304,Current,Active,2021-10-22
ACC000509,CUST000140,Savings,Active,2025-09-10
ACC000510,CUST000685,Current,Dormant,2019-11-15
ACC000511,CUST000421,Current,Active,2024-09-25
ACC000512,CUST000164,Current,Active,2024-05-12
ACC000513,CUST000073,Current,Dormant,2024-12-15
ACC000514,CUST000758,Current,Active,2024-03-22
ACC000515,CUST000283,Savings,Active,2025-03-19
ACC000516,CUST000106,Savings,Active,2023-12-04
ACC000517,CUST000842,Current,Active,2021-06-08
ACC000518,CUST000773,Business,Active,2023-06-25
ACC000519,CUST000913,Current,Active,2021-10-02
ACC000520,CUST000727,Current,Active,2023-04-08
ACC000521,CUST000091,Business,Active,2019-10-25
ACC000522,CUST000871,Current,Active,2021-09-06
ACC000523,CUST000108,Savings,Active,2023-06-10
ACC000524,CUST000337,Current,Active,2022-07-14
ACC000525,CUST000731,Savings,Active,2020-12-24
ACC000526,CUST000682,Current,Closed,2021-01-21
ACC000527,CUST000580,Current,Active,2022-03-29
ACC000528,CUST000605,Savings,Active,2025-06-04
ACC000529,CUST000990,Savings,Active,2019-10-05
ACC000530,CUST000736,Savings,Active,2021-08-05
ACC000531,CUST000536,Current,Active,2021-09-08
ACC000532,CUST000222,Current,Active,2022-11-04
ACC000533,CUST000423,Savings,Active,2023-09-09
ACC000534,CUST000353,Current,Dormant,2023-06-06
ACC000535,CUST000333,Current,Closed,2023-08-01
ACC000536,CUST000790,Savings,Active,2022-01-12
ACC000537,CUST000177,Savings,Active,2022-10-15
ACC000538,CUST000758,Savings,Dormant,2022-12-25
ACC000539,CUST000740,Current,Active,2020-12-14
ACC000540,CUST000392,Current,Active,2021-02-01
ACC000541,CUST000449,Savings,Active,2024-08-22
ACC000542,CUST000195,Current,Active,2020-03-31
ACC000543,CUST000552,Current,Active,2025-09-05
ACC000544,CUST000729,Current,Active,2021-12-29
ACC000545,CUST000349,Current,Active,2022-03-19
ACC000546,CUST000835,Savings,Active,2020-02-20
ACC000547,CUST000454,Savings,Active,2024-10-16
ACC000548,CUST000507,Current,Active,2024-01-29
ACC000549,CUST000451,Current,Active,2026-05-24
ACC000550,CUST000879,Current,Active,2021-11-18
ACC000551,CUST000197,Current,Active,2020-01-07
