transaction_id,transaction_timestamp,customer_id,account_id,merchant_id,merchant_category,customer_country,merchant_country,amount,currency,channel,transaction_type,status,cross_border_flag,high_amount_flag,unusual_hour_flag,high_risk_category_flag,high_risk_country_flag,kyc_issue_flag,pep_flag,suspicious_label
TXN00000067,2026-06-24T07:21:12,CUST000452,ACC001010,MER000130,Restaurants,Spain,Turkey,52.53,GBP,Mobile Banking,Transfer,Failed,1,0,0,0,1,0,0,0
TXN00000068,2026-02-25T13:50:49,CUST000268,ACC001160,MER000110,Hotels,Germany,India,170.38,EUR,API,Purchase,Completed,1,0,0,0,0,0,0,0
TXN00000069,2026-06-14T20:01:40,CUST000223,ACC000688,MER000181,Restaurants,Spain,Turkey,35.31,GBP,API,Purchase,Completed,1,0,0,0,1,0,0,0
TXN00000070,2026-03-05T04:01:07,CUST000611,ACC000348,MER000038,Cash Withdrawal,United States,India,174.98,EUR,API,Purchase,Completed,1,0,1,1,0,0,0,1
TXN00000071,2026-06-01T22:05:20,CUST000594,ACC000872,MER000151,Fuel,Singapore,Italy,2.67,GBP,Mobile Banking,Purchase,Completed,1,0,0,0,0,0,0,0
TXN00000072,2026-03-17T23:35:07,CUST000858,ACC001085,MER000027,Electronics,Spain,Turkey,83.25,GBP,Card Present,Cash Withdrawal,Completed,1,0,0,0,1,0,0,0
TXN00000073,2026-05-04T15:46:10,CUST000613,ACC000901,MER000182,Travel,Italy,Singapore,39.93,EUR,API,Purchase,Completed,1,0,0,0,0,0,0,0
TXN00000074,2026-06-15T16:35:42,CUST000534,ACC000213,MER000061,Crypto Exchange,Nigeria,Germany,27.14,GBP,Branch,Purchase,Pending,1,0,0,1,1,0,0,1
TXN00000075,2026-03-01T03:44:20,CUST000161,ACC001161,MER000054,Groceries,India,Italy,40.12,GBP,ATM,Transfer,Completed,1,0,1,0,0,0,0,0
TXN00000076,2026-05-25T13:31:27,CUST000125,ACC000668,MER000209,Gambling,Netherlands,Turkey,5.01,GBP,Card Present,Purchase,Completed,1,0,0,1,1,0,0,1
TXN00000077,2026-07-04T03:49:43,CUST000445,ACC001127,MER000030,Hotels,Turkey,Netherlands,29.38,GBP,ATM,Transfer,Completed,1,0,1,0,1,0,0,1
TXN00000078,2026-06-20T11:31:00,CUST000733,ACC000460,MER000032,Travel,Nigeria,Germany,7235.37,GBP,Card Present,Purchase,Pending,1,1,0,0,1,0,0,1
TXN00000079,2026-05-10T00:37:46,CUST000241,ACC000913,MER000238,Travel,Italy,Spain,21.8,GBP,Card Present,Cash Withdrawal,Completed,1,0,1,0,0,0,0,0
TXN00000080,2026-03-29T02:22:30,CUST000802,ACC000083,MER000050,Luxury Goods,Singapore,Spain,16.31,GBP,Card Present,Purchase,Completed,1,0,1,1,0,0,0,1
TXN00000081,2026-03-30T15:43:00,CUST000792,ACC000193,MER000118,Luxury Goods,Canada,India,22.16,GBP,Mobile Banking,Transfer,Failed,1,0,0,1,0,1,0,1
TXN00000082,2026-04-18T19:45:39,CUST000603,ACC001012,MER000113,Hotels,France,Netherlands,91.41,GBP,Branch,Refund,Completed,1,0,0,0,0,0,0,0
TXN00000083,2026-01-27T07:45:00,CUST000433,ACC001039,MER000024,Electronics,United States,Italy,50.84,GBP,Card Present,Purchase,Completed,1,0,0,0,0,0,0,0
TXN00000084,2026-03-19T03:23:17,CUST000914,ACC000218,MER000073,Online Marketplace,Turkey,Canada,4056.03,GBP,ATM,Purchase,Completed,1,1,1,0,1,0,0,1
TXN00000085,2026-05-23T07:16:48,CUST000043,ACC000732,MER000095,Subscription,Turkey,Netherlands,40.33,GBP,ATM,Purchase,Completed,1,0,0,0,1,0,0,0
TXN00000086,2026-03-16T20:10:09,CUST000582,ACC000637,MER000041,Electronics,Pakistan,Canada,96.41,GBP,ATM,Purchase,Completed,1,0,0,0,0,0,0,0
TXN00000087,2026-01-17T23:01:52,CUST000580,ACC000450,MER000121,Luxury Goods,India,Spain,18.14,GBP,Card Present,Purchase,Completed,1,0,0,1,0,1,1,1
TXN00000088,2026-06-22T02:13:26,CUST000606,ACC000879,MER000047,Groceries,United Arab Emirates,Nigeria,26.37,GBP,API,Purchase,Completed,1,0,1,0,1,0,0,1
TXN00000089,2026-01-13T09:13:29,CUST000966,ACC000179,MER000034,Pharmacy,Spain,United States,24.73,USD,ATM,Purchase,Completed,1,0,0,0,0,0,0,0
TXN00000090,2026-06-21T02:49:23,CUST000192,ACC000857,MER000004,Restaurants,Italy,Pakistan,8.47,GBP,ATM,Purchase,Completed,1,0,1,0,0,0,0,0
TXN00000091,2026-04-22T17:13:52,CUST000075,ACC000945,MER000093,Money Transfer,United Arab Emirates,Spain,49.21,GBP,API,Purchase,Completed,1,0,0,1,0,0,0,0
TXN00000092,2026-06-22T17:08:40,CUST000500,ACC000423,MER000099,Money Transfer,Germany,Canada,47.52,GBP,API,Purchase,Completed,1,0,0,1,0,0,0,0
TXN00000093,2026-05-04T15:33:14,CUST000624,ACC000932,MER000241,Cash Withdrawal,Germany,Turkey,36.79,GBP,Branch,Purchase,Completed,1,0,0,1,1,0,0,1
TXN00000094,2026-05-04T20:57:00,CUST000461,ACC000376,MER000208,Gambling,Spain,France,28.95,GBP,E-Commerce,Purchase,Completed,1,0,0,1,0,0,0,0
TXN00000095,2026-06-30T10:15:34,CUST000698,ACC000977,MER000096,Fuel,Nigeria,United Kingdom,8.89,GBP,Card Present,Transfer,Completed,1,0,0,0,1,0,0,0
TXN00000096,2026-02-14T19:57:20,CUST000865,ACC000752,MER000128,Hotels,United Arab Emirates,Pakistan,24.03,GBP,Branch,Purchase,Completed,1,0,0,0,0,0,0,0
TXN00000097,2026-03-16T15:29:31,CUST000351,ACC000950,MER000071,Luxury Goods,United Kingdom,United Arab Emirates,25.98,GBP,Branch,Refund,Completed,1,0,0,1,0,0,0,0
TXN00000098,2026-05-01T20:40:18,CUST000942,ACC001232,MER000157,Groceries,Turkey,United States,16.41,GBP,API,Transfer,Completed,1,0,0,0,1,0,0,0
TXN00000099,2026-03-18T13:38:15,CUST000188,ACC000787,MER000177,Restaurants,Nigeria,Turkey,31.15,USD,Card Present,Purchase,Pending,1,0,0,0,1,0,0,0
TXN00000100,2026-06-26T09:07:42,CUST000947,ACC001001,MER000002,Groceries,France,Canada,54.82,GBP,Card Present,Purchase,Completed,1,0,0,0,0,1,0,0
TXN00000101,2026-03-15T16:50:41,CUST000999,ACC000251,MER000157,Groceries,Spain,United States,241.33,GBP,E-Commerce,Purchase,Completed,1,0,0,0,0,1,0,0
TXN00000102,2026-03-21T18:50:47,CUST000045,ACC001009,MER000059,Electronics,United Kingdom,France,43.58,GBP,Card Present,Purchase,Completed,1,0,0,0,0,0,0,0
TXN00000103,2026-03-10T11:45:39,CUST000441,ACC000900,MER000175,Restaurants,France,Netherlands,2850.74,EUR,API,Purchase,Completed,1,1,0,0,0,0,0,0
TXN00000104,2026-01-14T11:28:32,CUST000805,ACC000640,MER000144,Groceries,Singapore,Spain,5.37,GBP,ATM,Purchase,Completed,1,0,0,0,0,0,0,0
TXN00000105,2026-03-28T09:34:45,CUST000569,ACC001174,MER000055,Money Transfer,Canada,Spain,35.64,GBP,Branch,Cash Withdrawal,Completed,1,0,0,1,0,0,0,0
TXN00000106,2026-03-02T16:13:11,CUST000751,ACC000181,MER000246,Cash Withdrawal,United Kingdom,Nigeria,38.87,GBP,ATM,Purchase,Completed,1,0,0,1,1,0,0,1
TXN00000107,2026-06-30T16:20:34,CUST000743,ACC000152,MER000010,Luxury Goods,United States,India,429.77,GBP,ATM,Purchase,Completed,1,0,0,1,0,0,0,0
TXN00000108,2026-04-10T06:26:50,CUST000071,ACC001226,MER000229,Restaurants,Singapore,United Arab Emirates,30.19,GBP,E-Commerce,Purchase,Pending,1,0,0,0,0,1,0,0
TXN00000109,2026-02-22T07:40:36,CUST000431,ACC000971,MER000104,Pharmacy,India,Netherlands,49.48,GBP,E-Commerce,Purchase,Completed,1,0,0,0,0,0,0,0
TXN00000110,2026-02-23T04:30:48,CUST000735,ACC000092,MER000229,Restaurants,Canada,United Arab Emirates,35.35,GBP,E-Commerce,Purchase,Completed,1,0,1,0,0,0,0,0
TXN00000111,2026-02-23T19:22:02,CUST000944,ACC000614,MER000104,Pharmacy,Germany,Netherlands,11.37,GBP,Branch,Transfer,Completed,1,0,0,0,0,0,0,0
TXN00000112,2026-04-12T18:19:58,CUST000403,ACC000911,MER000115,Fuel,United Kingdom,Singapore,114.76,GBP,ATM,Purchase,Completed,1,0,0,0,0,0,0,0
TXN00000113,2026-04-19T17:40:52,CUST000609,ACC000070,MER000139,Subscription,Singapore,Canada,77.63,GBP,Mobile Banking,Cash Withdrawal,Completed,1,0,0,0,0,0,0,0
TXN00000114,2026-06-20T17:13:34,CUST000615,ACC000209,MER000228,Hotels,United Kingdom,India,80.72,GBP,Branch,Purchase,Reversed,1,0,0,0,0,0,0,0
TXN00000115,2026-01-12T05:59:59,CUST000020,ACC000292,MER000085,Hotels,Germany,Turkey,14.74,GBP,API,Purchase,Completed,1,0,0,0,1,0,0,0
TXN00000116,2026-05-03T22:37:40,CUST000416,ACC000403,MER000236,Luxury Goods,Germany,United States,148.83,GBP,Card Present,Transfer,Completed,1,0,0,1,0,0,0,0
TXN00000117,2026-02-17T08:48:20,CUST000187,ACC001110,MER000231,Groceries,Pakistan,Spain,9.01,GBP,Branch,Cash Withdrawal,Completed,1,0,0,0,0,0,0,0
TXN00000118,2026-05-17T20:44:12,CUST000052,ACC000162,MER000082,Money Transfer,India,Singapore,65.82,EUR,Mobile Banking,Transfer,Completed,1,0,0,1,0,0,0,0
TXN00000119,2026-02-03T10:40:55,CUST000703,ACC000623,MER000113,Hotels,United Kingdom,Netherlands,327.16,GBP,Branch,Purchase,Completed,1,0,0,0,0,0,0,0
TXN00000120,2026-06-29T08:57:36,CUST000196,ACC000265,MER000119,Online Marketplace,Italy,Italy,13.59,GBP,Mobile Banking,Purchase,Pending,0,0,0,0,0,0,0,0
TXN00000121,2026-04-02T10:59:44,CUST000683,ACC000663,MER000013,Crypto Exchange,Nigeria,Canada,3164.63,GBP,Mobile Banking,Cash Withdrawal,Completed,1,1,0,1,1,0,0,1
TXN00000122,2026-06-09T18:47:10,CUST000707,ACC001008,MER000001,Cash Withdrawal,Spain,Germany,22.12,GBP,ATM,Purchase,Failed,1,0,0,1,0,0,0,0
TXN00000123,2026-02-01T00:45:17,CUST000292,ACC000021,MER000019,Groceries,Italy,Netherlands,7.76,USD,API,Purchase,Completed,1,0,1,0,0,1,0,1
TXN00000124,2026-04-14T12:45:00,CUST000914,ACC000218,MER000246,Cash Withdrawal,Turkey,Nigeria,39.2,GBP,Mobile Banking,Purchase,Completed,1,0,0,1,1,0,0,1
TXN00000125,2026-03-09T02:07:23,CUST000073,ACC000389,MER000016,Subscription,Spain,United Kingdom,12.65,GBP,Branch,Purchase,Pending,1,0,1,0,0,0,0,0
TXN00000126,2026-04-02T22:14:53,CUST000931,ACC001122,MER000016,Subscription,Netherlands,United Kingdom,58.77,GBP,API,Transfer,Reversed,1,0,0,0,0,0,0,0
TXN00000127,2026-05-16T23:30:47,CUST000513,ACC000547,MER000178,Groceries,Italy,Italy,14.59,EUR,Mobile Banking,Purchase,Failed,0,0,0,0,0,0,0,0
TXN00000128,2026-03-08T06:18:35,CUST000384,ACC000821,MER000006,Money Transfer,Italy,Nigeria,1863.19,EUR,E-Commerce,Purchase,Completed,1,1,0,1,1,0,0,1
TXN00000129,2026-03-07T14:19:03,CUST000165,ACC000995,MER000213,Pharmacy,Singapore,Spain,4856.68,GBP,Branch,Purchase,Completed,1,1,0,0,0,0,0,0
TXN00000130,2026-02-01T15:00:47,CUST000551,ACC000522,MER000048,Pharmacy,Spain,Nigeria,10.69,GBP,E-Commerce,Purchase,Completed,1,0,0,0,1,0,0,0
TXN00000131,2026-07-03T02:40:42,CUST000339,ACC000196,MER000018,Hotels,Pakistan,Singapore,6530.81,EUR,Branch,Transfer,Completed,1,1,1,0,0,0,0,1
TXN00000132,2026-02-23T02:44:57,CUST000251,ACC000145,MER000164,Gambling,Canada,Turkey,7.33,GBP,E-Commerce,Purchase,Completed,1,0,1,1,1,0,0,1
TXN00000133,2026-05-16T16:03:24,CUST000120,ACC000598,MER000099,Money Transfer,Nigeria,Canada,44.02,GBP,API,Purchase,Failed,1,0,0,1,1,0,0,1
TXN00000134,2026-02-17T02:52:49,CUST000934,ACC000935,MER000086,Subscription,Singapore,Singapore,47.46,GBP,ATM,Transfer,Completed,0,0,1,0,0,0,0,0
TXN00000135,2026-05-30T08:41:09,CUST000608,ACC001216,MER000198,Pharmacy,Netherlands,Turkey,79.98,USD,E-Commerce,Purchase,Completed,1,0,0,0,1,0,0,0
TXN00000136,2026-03-16T09:20:50,CUST000184,ACC000336,MER000227,Hotels,Canada,Canada,10.62,GBP,Mobile Banking,Purchase,Completed,0,0,0,0,0,0,0,0
TXN00000137,2026-03-20T17:37:32,CUST000026,ACC001221,MER000033,Electronics,United Arab Emirates,Singapore,4077.2,GBP,E-Commerce,Purchase,Completed,1,1,0,0,0,0,0,0
TXN00000138,2026-05-29T17:01:33,CUST000007,ACC000371,MER000049,Groceries,Italy,United States,49.25,GBP,API,Purchase,Completed,1,0,0,0,0,0,0,0
TXN00000139,2026-03-07T21:42:40,CUST000933,ACC000287,MER000134,Pharmacy,Pakistan,Germany,47.02,GBP,Card Present,Purchase,Completed,1,0,0,0,0,0,0,0
TXN00000140,2026-04-17T03:08:18,CUST000516,ACC000895,MER000055,Money Transfer,United Kingdom,Spain,51.75,GBP,Mobile Banking,Purchase,Completed,1,0,1,1,0,0,0,1
TXN00000141,2026-06-17T08:07:50,CUST000997,ACC001184,MER000043,Online Marketplace,France,United Kingdom,18.54,GBP,Card Present,Cash Withdrawal,Completed,1,0,0,0,0,0,0,0
TXN00000142,2026-01-13T00:49:10,CUST000940,ACC000114,MER000123,Restaurants,Canada,Canada,46.17,GBP,Branch,Purchase,Completed,0,0,1,0,0,0,0,0
TXN00000143,2026-03-03T12:21:27,CUST000931,ACC001192,MER000123,Restaurants,Netherlands,Canada,49.06,GBP,Card Present,Purchase,Reversed,1,0,0,0,0,0,0,0
TXN00000144,2026-05-31T20:40:12,CUST000142,ACC000191,MER000185,Gambling,India,United States,17.92,GBP,ATM,Purchase,Completed,1,0,0,1,0,0,0,0
TXN00000145,2026-06-02T19:27:18,CUST000949,ACC000097,MER000035,Gambling,France,United States,236.46,GBP,Branch,Refund,Completed,1,0,0,1,0,0,0,0
TXN00000146,2026-02-26T21:36:19,CUST000749,ACC000626,MER000237,Fuel,United Arab Emirates,Turkey,58.78,GBP,Mobile Banking,Purchase,Completed,1,0,0,0,1,0,0,0
TXN00000147,2026-01-31T21:43:15,CUST000718,ACC000975,MER000173,Cash Withdrawal,United States,France,11.12,GBP,E-Commerce,Refund,Completed,1,0,0,1,0,0,0,0
TXN00000148,2026-06-07T22:14:52,CUST000732,ACC000881,MER000057,Money Transfer,France,Pakistan,70.57,GBP,E-Commerce,Purchase,Completed,1,0,0,1,0,0,0,0
TXN00000149,2026-06-08T04:37:57,CUST000382,ACC000756,MER000011,Money Transfer,France,Germany,13.81,GBP,Card Present,Purchase,Completed,1,0,1,1,0,0,0,1
TXN00000150,2026-02-09T12:43:30,CUST000003,ACC000118,MER000089,Travel,United States,United Kingdom,80.41,GBP,Branch,Purchase,Completed,1,0,0,0,0,0,0,0
