transaction_id,a_record_count,a_recon_references,a_source_systems,a_account_id,a_booking_date,a_amount,a_currency,a_status,b_record_count,b_recon_references,b_source_systems,b_account_id,b_booking_date,b_amount,b_currency,b_status,amount_difference,absolute_amount_difference,break_type,primary_break_category,is_break,severity,reconciliation_status,case_age_days
TXN00003239,1,REC-A-TXN00003239,PaymentProcessorA,ACC000841,2026-01-12,258.08,EUR,Completed,2,REC-B-TXN00003239; REC-B-TXN00003239-DUP,CoreBankingB,ACC000841,2026-01-12,258.08,EUR,Completed,0.0,0.0,DUPLICATE_IN_B,DUPLICATE_IN_B,1,High,Break,180
TXN00003435,1,REC-A-TXN00003435,PaymentProcessorA,ACC000703,2026-03-15,90.38,EUR,Completed,2,REC-B-TXN00003435; REC-B-TXN00003435-DUP,CoreBankingB,ACC000703,2026-03-15,90.38,EUR,Completed,0.0,0.0,DUPLICATE_IN_B,DUPLICATE_IN_B,1,High,Break,118
TXN00004512,1,REC-A-TXN00004512,PaymentProcessorA,ACC001156,2026-05-03,20.56,GBP,Completed,2,REC-B-TXN00004512; REC-B-TXN00004512-DUP,CoreBankingB,ACC001156,2026-05-03,20.56,GBP,Completed,0.0,0.0,DUPLICATE_IN_B,DUPLICATE_IN_B,1,High,Break,69
TXN00005010,1,REC-A-TXN00005010,PaymentProcessorA,ACC000222,2026-05-25,63.82,GBP,Completed,2,REC-B-TXN00005010; REC-B-TXN00005010-DUP,CoreBankingB,ACC000222,2026-05-25,63.82,GBP,Completed,0.0,0.0,DUPLICATE_IN_B,DUPLICATE_IN_B,1,High,Break,47
TXN00005928,1,REC-A-TXN00005928,PaymentProcessorA,ACC001002,2026-02-04,25.23,GBP,Completed,2,REC-B-TXN00005928; REC-B-TXN00005928-DUP,CoreBankingB,ACC001002,2026-02-04,25.23,GBP,Completed,0.0,0.0,DUPLICATE_IN_B,DUPLICATE_IN_B,1,High,Break,157
TXN00005999,1,REC-A-TXN00005999,PaymentProcessorA,ACC001251,2026-04-11,121.43,GBP,Completed,2,REC-B-TXN00005999; REC-B-TXN00005999-DUP,CoreBankingB,ACC001251,2026-04-11,121.43,GBP,Completed,0.0,0.0,DUPLICATE_IN_B,DUPLICATE_IN_B,1,High,Break,91
TXN00006046,1,REC-A-TXN00006046,PaymentProcessorA,ACC000953,2026-05-26,96.27,GBP,Completed,2,REC-B-TXN00006046; REC-B-TXN00006046-DUP,CoreBankingB,ACC000953,2026-05-26,96.27,GBP,Completed,0.0,0.0,DUPLICATE_IN_B,DUPLICATE_IN_B,1,High,Break,46
TXN00006323,1,REC-A-TXN00006323,PaymentProcessorA,ACC000697,2026-02-10,148.71,GBP,Completed,2,REC-B-TXN00006323; REC-B-TXN00006323-DUP,CoreBankingB,ACC000697,2026-02-10,148.71,GBP,Completed,0.0,0.0,DUPLICATE_IN_B,DUPLICATE_IN_B,1,High,Break,151
TXN00006474,1,REC-A-TXN00006474,PaymentProcessorA,ACC000477,2026-06-04,104.42,GBP,Completed,2,REC-B-TXN00006474; REC-B-TXN00006474-DUP,CoreBankingB,ACC000477,2026-06-04,104.42,GBP,Completed,0.0,0.0,DUPLICATE_IN_B,DUPLICATE_IN_B,1,High,Break,37
TXN00006482,1,REC-A-TXN00006482,PaymentProcessorA,ACC000005,2026-01-29,22.22,USD,Completed,2,REC-B-TXN00006482; REC-B-TXN00006482-DUP,CoreBankingB,ACC000005,2026-01-29,22.22,USD,Completed,0.0,0.0,DUPLICATE_IN_B,DUPLICATE_IN_B,1,High,Break,163
TXN00007047,1,REC-A-TXN00007047,PaymentProcessorA,ACC000707,2026-04-26,101.66,GBP,Completed,2,REC-B-TXN00007047; REC-B-TXN00007047-DUP,CoreBankingB,ACC000707,2026-04-26,101.66,GBP,Completed,0.0,0.0,DUPLICATE_IN_B,DUPLICATE_IN_B,1,High,Break,76
TXN00008814,1,REC-A-TXN00008814,PaymentProcessorA,ACC000517,2026-05-23,124.03,GBP,Completed,2,REC-B-TXN00008814; REC-B-TXN00008814-DUP,CoreBankingB,ACC000517,2026-05-23,124.03,GBP,Completed,0.0,0.0,DUPLICATE_IN_B,DUPLICATE_IN_B,1,High,Break,49
TXN00008842,1,REC-A-TXN00008842,PaymentProcessorA,ACC000292,2026-06-30,120.44,GBP,Completed,2,REC-B-TXN00008842; REC-B-TXN00008842-DUP,CoreBankingB,ACC000292,2026-06-30,120.44,GBP,Completed,0.0,0.0,DUPLICATE_IN_B,DUPLICATE_IN_B,1,High,Break,11
TXN00008851,1,REC-A-TXN00008851,PaymentProcessorA,ACC000851,2026-06-25,48.07,GBP,Completed,2,REC-B-TXN00008851; REC-B-TXN00008851-DUP,CoreBankingB,ACC000851,2026-06-25,48.07,GBP,Completed,0.0,0.0,DUPLICATE_IN_B,DUPLICATE_IN_B,1,High,Break,16
TXN00008971,1,REC-A-TXN00008971,PaymentProcessorA,ACC000075,2026-02-15,7.64,GBP,Completed,2,REC-B-TXN00008971; REC-B-TXN00008971-DUP,CoreBankingB,ACC000075,2026-02-15,7.64,GBP,Completed,0.0,0.0,DUPLICATE_IN_B,DUPLICATE_IN_B,1,High,Break,146
TXN00009121,1,REC-A-TXN00009121,PaymentProcessorA,ACC000130,2026-03-23,2686.17,GBP,Completed,2,REC-B-TXN00009121; REC-B-TXN00009121-DUP,CoreBankingB,ACC000130,2026-03-23,2686.17,GBP,Completed,0.0,0.0,DUPLICATE_IN_B,DUPLICATE_IN_B,1,High,Break,110
TXN00009203,1,REC-A-TXN00009203,PaymentProcessorA,ACC000918,2026-04-21,22.93,GBP,Completed,2,REC-B-TXN00009203; REC-B-TXN00009203-DUP,CoreBankingB,ACC000918,2026-04-21,22.93,GBP,Completed,0.0,0.0,DUPLICATE_IN_B,DUPLICATE_IN_B,1,High,Break,81
TXN00009690,1,REC-A-TXN00009690,PaymentProcessorA,ACC000927,2026-02-19,15.99,GBP,Completed,2,REC-B-TXN00009690; REC-B-TXN00009690-DUP,CoreBankingB,ACC000927,2026-02-19,15.99,GBP,Completed,0.0,0.0,DUPLICATE_IN_B,DUPLICATE_IN_B,1,High,Break,142
TXN00009886,1,REC-A-TXN00009886,PaymentProcessorA,ACC000084,2026-03-01,9.66,GBP,Completed,2,REC-B-TXN00009886; REC-B-TXN00009886-DUP,CoreBankingB,ACC000084,2026-03-01,9.66,GBP,Completed,0.0,0.0,DUPLICATE_IN_B,DUPLICATE_IN_B,1,High,Break,132
TXN00009899,1,REC-A-TXN00009899,PaymentProcessorA,ACC000411,2026-04-08,35.41,GBP,Completed,2,REC-B-TXN00009899; REC-B-TXN00009899-DUP,CoreBankingB,ACC000411,2026-04-08,35.41,GBP,Completed,0.0,0.0,DUPLICATE_IN_B,DUPLICATE_IN_B,1,High,Break,94
EXTRA-TXN00000011,0,,,,,,,,1,REC-B-EXTRA-TXN00000011,CoreBankingB,ACC000746,2026-06-25,23.03,GBP,Completed,,,MISSING_IN_A,MISSING_IN_A,1,High,Break,16
EXTRA-TXN00001248,0,,,,,,,,1,REC-B-EXTRA-TXN00001248,CoreBankingB,ACC000152,2026-01-12,98.7,USD,Completed,,,MISSING_IN_A,MISSING_IN_A,1,High,Break,180
EXTRA-TXN00001288,0,,,,,,,,1,REC-B-EXTRA-TXN00001288,CoreBankingB,ACC000047,2026-02-22,56.65,GBP,Completed,,,MISSING_IN_A,MISSING_IN_A,1,High,Break,139
EXTRA-TXN00001407,0,,,,,,,,1,REC-B-EXTRA-TXN00001407,CoreBankingB,ACC000151,2026-04-26,54.31,USD,Completed,,,MISSING_IN_A,MISSING_IN_A,1,High,Break,76
EXTRA-TXN00001417,0,,,,,,,,1,REC-B-EXTRA-TXN00001417,CoreBankingB,ACC000178,2026-06-07,55.68,GBP,Completed,,,MISSING_IN_A,MISSING_IN_A,1,High,Break,34
EXTRA-TXN00001517,0,,,,,,,,1,REC-B-EXTRA-TXN00001517,CoreBankingB,ACC001093,2026-06-25,115.43,GBP,Completed,,,MISSING_IN_A,MISSING_IN_A,1,High,Break,16
EXTRA-TXN00001598,0,,,,,,,,1,REC-B-EXTRA-TXN00001598,CoreBankingB,ACC000316,2026-07-07,22.09,GBP,Completed,,,MISSING_IN_A,MISSING_IN_A,1,High,Break,4
EXTRA-TXN00001619,0,,,,,,,,1,REC-B-EXTRA-TXN00001619,CoreBankingB,ACC001073,2026-04-11,48.58,GBP,Completed,,,MISSING_IN_A,MISSING_IN_A,1,High,Break,91
EXTRA-TXN00001643,0,,,,,,,,1,REC-B-EXTRA-TXN00001643,CoreBankingB,ACC001160,2026-02-17,4.17,GBP,Completed,,,MISSING_IN_A,MISSING_IN_A,1,High,Break,144
EXTRA-TXN00002426,0,,,,,,,,1,REC-B-EXTRA-TXN00002426,CoreBankingB,ACC000596,2026-05-11,59.3,GBP,Completed,,,MISSING_IN_A,MISSING_IN_A,1,High,Break,61
EXTRA-TXN00003498,0,,,,,,,,1,REC-B-EXTRA-TXN00003498,CoreBankingB,ACC000467,2026-03-24,55.79,GBP,Completed,,,MISSING_IN_A,MISSING_IN_A,1,High,Break,109
EXTRA-TXN00004140,0,,,,,,,,1,REC-B-EXTRA-TXN00004140,CoreBankingB,ACC000383,2026-06-02,7.95,GBP,Completed,,,MISSING_IN_A,MISSING_IN_A,1,High,Break,39
EXTRA-TXN00004388,0,,,,,,,,1,REC-B-EXTRA-TXN00004388,CoreBankingB,ACC000655,2026-04-28,33.81,GBP,Completed,,,MISSING_IN_A,MISSING_IN_A,1,High,Break,74
EXTRA-TXN00004639,0,,,,,,,,1,REC-B-EXTRA-TXN00004639,CoreBankingB,ACC001113,2026-03-07,5.4,GBP,Completed,,,MISSING_IN_A,MISSING_IN_A,1,High,Break,126
EXTRA-TXN00004943,0,,,,,,,,1,REC-B-EXTRA-TXN00004943,CoreBankingB,ACC001162,2026-06-17,72.91,GBP,Completed,,,MISSING_IN_A,MISSING_IN_A,1,High,Break,24
EXTRA-TXN00005047,0,,,,,,,,1,REC-B-EXTRA-TXN00005047,CoreBankingB,ACC000266,2026-03-23,49.79,GBP,Completed,,,MISSING_IN_A,MISSING_IN_A,1,High,Break,110
EXTRA-TXN00005236,0,,,,,,,,1,REC-B-EXTRA-TXN00005236,CoreBankingB,ACC000029,2026-03-26,6.21,GBP,Completed,,,MISSING_IN_A,MISSING_IN_A,1,High,Break,107
EXTRA-TXN00006482,0,,,,,,,,1,REC-B-EXTRA-TXN00006482,CoreBankingB,ACC000005,2026-01-29,22.22,USD,Completed,,,MISSING_IN_A,MISSING_IN_A,1,High,Break,163
EXTRA-TXN00006809,0,,,,,,,,1,REC-B-EXTRA-TXN00006809,CoreBankingB,ACC000821,2026-06-17,17.97,GBP,Completed,,,MISSING_IN_A,MISSING_IN_A,1,High,Break,24
EXTRA-TXN00007018,0,,,,,,,,1,REC-B-EXTRA-TXN00007018,CoreBankingB,ACC000520,2026-02-26,12.75,GBP,Completed,,,MISSING_IN_A,MISSING_IN_A,1,High,Break,135
EXTRA-TXN00007244,0,,,,,,,,1,REC-B-EXTRA-TXN00007244,CoreBankingB,ACC000040,2026-03-25,22.22,EUR,Completed,,,MISSING_IN_A,MISSING_IN_A,1,High,Break,108
EXTRA-TXN00007476,0,,,,,,,,1,REC-B-EXTRA-TXN00007476,CoreBankingB,ACC000085,2026-07-07,49.08,EUR,Completed,,,MISSING_IN_A,MISSING_IN_A,1,High,Break,4
EXTRA-TXN00007615,0,,,,,,,,1,REC-B-EXTRA-TXN00007615,CoreBankingB,ACC000386,2026-01-15,105.63,GBP,Completed,,,MISSING_IN_A,MISSING_IN_A,1,High,Break,177
EXTRA-TXN00007918,0,,,,,,,,1,REC-B-EXTRA-TXN00007918,CoreBankingB,ACC001033,2026-02-25,2347.09,GBP,Completed,,,MISSING_IN_A,MISSING_IN_A,1,High,Break,136
EXTRA-TXN00008073,0,,,,,,,,1,REC-B-EXTRA-TXN00008073,CoreBankingB,ACC000052,2026-06-05,9.74,GBP,Completed,,,MISSING_IN_A,MISSING_IN_A,1,High,Break,36
EXTRA-TXN00008208,0,,,,,,,,1,REC-B-EXTRA-TXN00008208,CoreBankingB,ACC000571,2026-01-20,26.96,GBP,Completed,,,MISSING_IN_A,MISSING_IN_A,1,High,Break,172
EXTRA-TXN00009067,0,,,,,,,,1,REC-B-EXTRA-TXN00009067,CoreBankingB,ACC000461,2026-03-24,35.47,GBP,Completed,,,MISSING_IN_A,MISSING_IN_A,1,High,Break,109
EXTRA-TXN00009406,0,,,,,,,,1,REC-B-EXTRA-TXN00009406,CoreBankingB,ACC001258,2026-03-04,32.53,GBP,Completed,,,MISSING_IN_A,MISSING_IN_A,1,High,Break,129
EXTRA-TXN00009918,0,,,,,,,,1,REC-B-EXTRA-TXN00009918,CoreBankingB,ACC000689,2026-01-13,41.99,GBP,Completed,,,MISSING_IN_A,MISSING_IN_A,1,High,Break,179
EXTRA-TXN00009973,0,,,,,,,,1,REC-B-EXTRA-TXN00009973,CoreBankingB,ACC000522,2026-01-23,16.09,GBP,Completed,,,MISSING_IN_A,MISSING_IN_A,1,High,Break,169
TXN00000082,1,REC-A-TXN00000082,PaymentProcessorA,ACC001012,2026-04-18,91.41,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,84
TXN00000120,1,REC-A-TXN00000120,PaymentProcessorA,ACC000265,2026-06-29,13.59,GBP,Pending,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,12
TXN00000322,1,REC-A-TXN00000322,PaymentProcessorA,ACC001269,2026-01-21,55.31,GBP,Pending,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,171
TXN00000336,1,REC-A-TXN00000336,PaymentProcessorA,ACC000882,2026-04-13,86.29,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,89
TXN00000402,1,REC-A-TXN00000402,PaymentProcessorA,ACC000811,2026-03-15,69.78,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,118
TXN00000409,1,REC-A-TXN00000409,PaymentProcessorA,ACC000242,2026-03-07,4.76,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,126
TXN00001019,1,REC-A-TXN00001019,PaymentProcessorA,ACC001224,2026-02-20,115.44,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,141
TXN00001069,1,REC-A-TXN00001069,PaymentProcessorA,ACC000214,2026-05-06,52.72,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,66
TXN00001288,1,REC-A-TXN00001288,PaymentProcessorA,ACC000047,2026-02-22,56.65,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,139
TXN00001406,1,REC-A-TXN00001406,PaymentProcessorA,ACC000142,2026-03-25,194.4,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,108
TXN00001431,1,REC-A-TXN00001431,PaymentProcessorA,ACC000334,2026-02-07,472.58,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,154
TXN00001454,1,REC-A-TXN00001454,PaymentProcessorA,ACC000144,2026-04-22,32.4,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,80
TXN00001571,1,REC-A-TXN00001571,PaymentProcessorA,ACC001289,2026-03-08,287.87,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,125
TXN00001618,1,REC-A-TXN00001618,PaymentProcessorA,ACC000564,2026-03-19,44.75,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,114
TXN00001660,1,REC-A-TXN00001660,PaymentProcessorA,ACC000729,2026-06-06,29.27,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,35
TXN00001684,1,REC-A-TXN00001684,PaymentProcessorA,ACC001195,2026-02-19,6796.72,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,142
TXN00002216,1,REC-A-TXN00002216,PaymentProcessorA,ACC000587,2026-05-12,4289.96,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,60
TXN00002273,1,REC-A-TXN00002273,PaymentProcessorA,ACC001169,2026-03-01,21.42,USD,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,132
TXN00002302,1,REC-A-TXN00002302,PaymentProcessorA,ACC000826,2026-04-13,8.59,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,89
TXN00002418,1,REC-A-TXN00002418,PaymentProcessorA,ACC000090,2026-03-30,3.98,EUR,Failed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,103
TXN00002738,1,REC-A-TXN00002738,PaymentProcessorA,ACC001293,2026-05-16,21.15,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,56
TXN00002743,1,REC-A-TXN00002743,PaymentProcessorA,ACC001237,2026-07-07,21.91,GBP,Failed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,4
TXN00002883,1,REC-A-TXN00002883,PaymentProcessorA,ACC000720,2026-06-01,5.43,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,40
TXN00003003,1,REC-A-TXN00003003,PaymentProcessorA,ACC000031,2026-06-08,25.58,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,33
TXN00003083,1,REC-A-TXN00003083,PaymentProcessorA,ACC000952,2026-03-14,14.12,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,119
TXN00003300,1,REC-A-TXN00003300,PaymentProcessorA,ACC000451,2026-04-06,57.07,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,96
TXN00003315,1,REC-A-TXN00003315,PaymentProcessorA,ACC000160,2026-03-19,179.22,USD,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,114
TXN00003685,1,REC-A-TXN00003685,PaymentProcessorA,ACC000831,2026-03-02,118.12,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,131
TXN00003814,1,REC-A-TXN00003814,PaymentProcessorA,ACC000576,2026-04-06,111.81,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,96
TXN00003870,1,REC-A-TXN00003870,PaymentProcessorA,ACC001230,2026-03-08,20.51,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,125
TXN00004276,1,REC-A-TXN00004276,PaymentProcessorA,ACC000517,2026-04-04,26.03,EUR,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,98
TXN00004344,1,REC-A-TXN00004344,PaymentProcessorA,ACC000961,2026-03-06,4423.37,EUR,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,127
TXN00004803,1,REC-A-TXN00004803,PaymentProcessorA,ACC000127,2026-05-16,48.75,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,56
TXN00004892,1,REC-A-TXN00004892,PaymentProcessorA,ACC000886,2026-03-13,7.73,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,120
TXN00005191,1,REC-A-TXN00005191,PaymentProcessorA,ACC000860,2026-03-04,197.26,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,129
TXN00005550,1,REC-A-TXN00005550,PaymentProcessorA,ACC000215,2026-05-31,21.79,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,41
TXN00005719,1,REC-A-TXN00005719,PaymentProcessorA,ACC001095,2026-03-31,195.09,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,102
TXN00005921,1,REC-A-TXN00005921,PaymentProcessorA,ACC000275,2026-01-22,22.55,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,170
TXN00006089,1,REC-A-TXN00006089,PaymentProcessorA,ACC000363,2026-07-11,67.21,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,0
TXN00006129,1,REC-A-TXN00006129,PaymentProcessorA,ACC001037,2026-03-27,4.59,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,106
TXN00006341,1,REC-A-TXN00006341,PaymentProcessorA,ACC000080,2026-05-27,6.09,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,45
TXN00006400,1,REC-A-TXN00006400,PaymentProcessorA,ACC000215,2026-03-28,12.19,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,105
TXN00006516,1,REC-A-TXN00006516,PaymentProcessorA,ACC000621,2026-05-12,49.27,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,60
TXN00006551,1,REC-A-TXN00006551,PaymentProcessorA,ACC000570,2026-06-15,2516.75,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,26
TXN00006689,1,REC-A-TXN00006689,PaymentProcessorA,ACC000001,2026-05-26,9.96,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,46
TXN00007054,1,REC-A-TXN00007054,PaymentProcessorA,ACC000550,2026-06-04,5.23,USD,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,37
TXN00007147,1,REC-A-TXN00007147,PaymentProcessorA,ACC000192,2026-07-09,5.61,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,2
TXN00007153,1,REC-A-TXN00007153,PaymentProcessorA,ACC000039,2026-06-25,360.97,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,16
TXN00007163,1,REC-A-TXN00007163,PaymentProcessorA,ACC000554,2026-02-04,6.09,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,157
TXN00007186,1,REC-A-TXN00007186,PaymentProcessorA,ACC000664,2026-06-26,28.38,GBP,Failed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,15
TXN00007229,1,REC-A-TXN00007229,PaymentProcessorA,ACC000159,2026-01-18,12.69,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,174
TXN00007249,1,REC-A-TXN00007249,PaymentProcessorA,ACC000733,2026-05-16,58.47,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,56
TXN00007494,1,REC-A-TXN00007494,PaymentProcessorA,ACC000811,2026-06-01,35.51,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,40
TXN00007522,1,REC-A-TXN00007522,PaymentProcessorA,ACC000084,2026-01-16,120.73,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,176
TXN00007935,1,REC-A-TXN00007935,PaymentProcessorA,ACC001299,2026-05-27,96.25,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,45
TXN00007937,1,REC-A-TXN00007937,PaymentProcessorA,ACC000759,2026-05-28,57.36,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,44
TXN00007962,1,REC-A-TXN00007962,PaymentProcessorA,ACC001098,2026-02-01,1072.11,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,160
TXN00008077,1,REC-A-TXN00008077,PaymentProcessorA,ACC000315,2026-07-08,64.63,GBP,Completed,0,,,,,,,,,,MISSING_IN_B,MISSING_IN_B,1,High,Break,3
