centrality_case_id,node_id,node_type,node_label,watchlist_flag,transaction_count,total_transaction_amount,max_rule_based_risk_score,max_anomaly_score_percentile,alert_count,ml_alert_count,suspicious_label_count,node_risk_score,node_risk_band,in_degree,out_degree,total_degree,degree_centrality,pagerank_score,graph_priority_score,recommended_action
CENTRALITY-000038,MER000177,Merchant,Restaurants Merchant 177,0,39.0,4908.3,73.0,98.74,24.0,6.0,14.0,100.0,Critical,39,0,39,0.0153,0.00130249,60.57,Review high-risk graph entity and connected transaction network.
CENTRALITY-000039,MER000215,Merchant,Crypto Exchange Merchant 215,0,39.0,5233.25,100.0,93.55,37.0,4.0,16.0,100.0,Critical,39,0,39,0.0153,0.00133645,60.57,Review high-risk graph entity and connected transaction network.
CENTRALITY-000040,MER000208,Merchant,Gambling Merchant 208,0,50.0,2509.58,88.0,98.71,47.0,3.0,17.0,100.0,Critical,48,0,48,0.018831,0.00092141,60.56,Review high-risk graph entity and connected transaction network.
CENTRALITY-000041,MER000048,Merchant,Pharmacy Merchant 048,0,46.0,2029.58,78.0,99.65,20.0,15.0,8.0,100.0,Critical,45,0,45,0.017654,0.00105774,60.56,Review high-risk graph entity and connected transaction network.
CENTRALITY-000042,MER000049,Merchant,Groceries Merchant 049,0,43.0,9595.51,88.0,96.11,14.0,4.0,7.0,100.0,Critical,43,0,43,0.016869,0.00111985,60.56,Review high-risk graph entity and connected transaction network.
CENTRALITY-000043,MER000244,Merchant,Luxury Goods Merchant 244,0,41.0,3239.98,82.0,97.1,41.0,4.0,15.0,100.0,Critical,40,0,40,0.015692,0.00122789,60.56,Review high-risk graph entity and connected transaction network.
CENTRALITY-000044,MER000014,Merchant,Groceries Merchant 014,0,39.0,15317.560000000001,76.0,99.71,30.0,7.0,15.0,100.0,Critical,39,0,39,0.0153,0.00121546,60.55,Review high-risk graph entity and connected transaction network.
CENTRALITY-000045,MER000189,Merchant,Cash Withdrawal Merchant 189,0,38.0,8856.039999999999,100.0,98.56,38.0,10.0,36.0,100.0,Critical,36,0,36,0.014123,0.00135513,60.55,Review high-risk graph entity and connected transaction network.
CENTRALITY-000046,MER000045,Merchant,Money Transfer Merchant 045,0,35.0,4797.089999999999,100.0,98.99,34.0,2.0,12.0,100.0,Critical,34,0,34,0.013339,0.00139785,60.55,Review high-risk graph entity and connected transaction network.
CENTRALITY-000047,MER000027,Merchant,Electronics Merchant 027,0,43.0,7434.66,71.0,99.02,26.0,10.0,11.0,100.0,Critical,42,0,42,0.016477,0.00104498,60.54,Review high-risk graph entity and connected transaction network.
CENTRALITY-000048,MER000202,Merchant,Cash Withdrawal Merchant 202,0,41.0,14569.44,100.0,95.8,37.0,2.0,15.0,100.0,Critical,41,0,41,0.016085,0.001097,60.54,Review high-risk graph entity and connected transaction network.
CENTRALITY-000049,MER000100,Merchant,Electronics Merchant 100,0,42.0,3189.23,83.0,98.4,24.0,5.0,14.0,100.0,Critical,40,0,40,0.015692,0.00111313,60.54,Review high-risk graph entity and connected transaction network.
CENTRALITY-000050,MER000161,Merchant,Crypto Exchange Merchant 161,0,36.0,16136.009999999998,100.0,99.92,36.0,8.0,35.0,100.0,Critical,36,0,36,0.014123,0.00128106,60.54,Review high-risk graph entity and connected transaction network.
CENTRALITY-000051,MER000131,Merchant,Crypto Exchange Merchant 131,0,33.0,13866.31,100.0,98.05,33.0,7.0,32.0,100.0,Critical,33,0,33,0.012946,0.00140412,60.54,Review high-risk graph entity and connected transaction network.
CENTRALITY-000052,MER000015,Merchant,Money Transfer Merchant 015,0,42.0,3062.96,100.0,99.08,42.0,13.0,40.0,100.0,Critical,42,0,42,0.016477,0.00100609,60.53,Review high-risk graph entity and connected transaction network.
CENTRALITY-000053,MER000039,Merchant,Gambling Merchant 039,0,43.0,10058.130000000001,100.0,95.69,42.0,1.0,14.0,100.0,Critical,42,0,42,0.016477,0.00102004,60.53,Review high-risk graph entity and connected transaction network.
CENTRALITY-000054,MER000246,Merchant,Cash Withdrawal Merchant 246,0,40.0,2849.22,92.0,98.76,40.0,13.0,38.0,100.0,Critical,40,0,40,0.015692,0.00108186,60.53,Review high-risk graph entity and connected transaction network.
CENTRALITY-000055,MER000142,Merchant,Fuel Merchant 142,0,35.0,12382.55,78.0,98.96,24.0,6.0,10.0,100.0,Critical,35,0,35,0.013731,0.00129662,60.53,Review high-risk graph entity and connected transaction network.
CENTRALITY-000056,MER000007,Merchant,Fuel Merchant 007,1,42.0,2447.2400000000002,100.0,99.26,42.0,6.0,4.0,100.0,Critical,41,0,41,0.016085,0.00098313,60.52,Review high-risk graph entity and connected transaction network.
CENTRALITY-000057,MER000006,Merchant,Money Transfer Merchant 006,0,40.0,3745.21,100.0,99.48,40.0,7.0,40.0,100.0,Critical,40,0,40,0.015692,0.00104859,60.52,Review high-risk graph entity and connected transaction network.
CENTRALITY-000058,MER000143,Merchant,Cash Withdrawal Merchant 143,1,40.0,4030.47,100.0,99.6,40.0,11.0,16.0,100.0,Critical,39,0,39,0.0153,0.00109435,60.52,Review high-risk graph entity and connected transaction network.
CENTRALITY-000059,MER000220,Merchant,Hotels Merchant 220,0,37.0,3013.42,83.0,97.24,22.0,8.0,13.0,100.0,Critical,37,0,37,0.014515,0.00109776,60.51,Review high-risk graph entity and connected transaction network.
CENTRALITY-000060,MER000210,Merchant,Gambling Merchant 210,0,36.0,6224.78,76.0,99.84,34.0,5.0,19.0,100.0,Critical,36,0,36,0.014123,0.00111367,60.51,Review high-risk graph entity and connected transaction network.
CENTRALITY-000061,MER000098,Merchant,Money Transfer Merchant 098,1,42.0,2760.4900000000002,100.0,99.49,42.0,14.0,19.0,100.0,Critical,42,0,42,0.016477,0.00084291,60.5,Review high-risk graph entity and connected transaction network.
CENTRALITY-000062,MER000179,Merchant,Cash Withdrawal Merchant 179,0,37.0,7089.11,84.0,99.27,37.0,3.0,19.0,100.0,Critical,37,0,37,0.014515,0.00103249,60.5,Review high-risk graph entity and connected transaction network.
CENTRALITY-000063,MER000242,Merchant,Cash Withdrawal Merchant 242,0,31.0,15211.13,100.0,99.85,31.0,15.0,29.0,100.0,Critical,31,0,31,0.012162,0.00128255,60.5,Review high-risk graph entity and connected transaction network.
CENTRALITY-000064,MER000053,Merchant,Gambling Merchant 053,0,38.0,7079.209999999999,88.0,98.83,38.0,5.0,14.0,100.0,Critical,38,0,38,0.014908,0.0009064,60.48,Review high-risk graph entity and connected transaction network.
CENTRALITY-000065,MER000183,Merchant,Luxury Goods Merchant 183,0,35.0,4167.26,97.0,97.44,34.0,1.0,15.0,100.0,Critical,35,0,35,0.013731,0.00101198,60.48,Review high-risk graph entity and connected transaction network.
CENTRALITY-000066,MER000219,Merchant,Money Transfer Merchant 219,0,35.0,2126.05,100.0,92.64,35.0,3.0,15.0,100.0,Critical,35,0,35,0.013731,0.00103984,60.48,Review high-risk graph entity and connected transaction network.
CENTRALITY-000067,MER000084,Merchant,Luxury Goods Merchant 084,0,37.0,6260.65,82.0,96.64,36.0,3.0,15.0,100.0,Critical,34,0,34,0.013339,0.00101679,60.47,Review high-risk graph entity and connected transaction network.
CENTRALITY-000068,MER000147,Merchant,Gambling Merchant 147,0,40.0,2400.13,83.0,96.23,37.0,6.0,15.0,100.0,Critical,39,0,39,0.0153,0.00076075,60.46,Review high-risk graph entity and connected transaction network.
CENTRALITY-000069,MER000116,Merchant,Fuel Merchant 116,0,29.0,5531.19,83.0,98.97,15.0,4.0,8.0,100.0,Critical,28,0,28,0.010985,0.00119247,60.46,Review high-risk graph entity and connected transaction network.
CENTRALITY-000070,MER000160,Merchant,Crypto Exchange Merchant 160,0,31.0,9084.890000000001,100.0,97.26,31.0,6.0,13.0,100.0,Critical,31,0,31,0.012162,0.00104298,60.45,Review high-risk graph entity and connected transaction network.
CENTRALITY-000071,MER000173,Merchant,Cash Withdrawal Merchant 173,0,34.0,3744.7599999999998,100.0,98.21,31.0,2.0,12.0,100.0,Critical,34,0,34,0.013339,0.00085973,60.44,Review high-risk graph entity and connected transaction network.
CENTRALITY-000072,MER000061,Merchant,Crypto Exchange Merchant 061,1,31.0,5147.86,100.0,99.73,31.0,7.0,15.0,100.0,Critical,31,0,31,0.012162,0.00097909,60.44,Review high-risk graph entity and connected transaction network.
CENTRALITY-000073,MER000172,Merchant,Luxury Goods Merchant 172,0,34.0,11191.45,99.0,97.93,30.0,8.0,12.0,100.0,Critical,31,0,31,0.012162,0.00093393,60.43,Review high-risk graph entity and connected transaction network.
CENTRALITY-000074,MER000017,Merchant,Gambling Merchant 017,0,31.0,12962.39,86.0,95.78,29.0,2.0,10.0,100.0,Critical,29,0,29,0.011377,0.00100829,60.43,Review high-risk graph entity and connected transaction network.
CENTRALITY-000075,MER000192,Merchant,Crypto Exchange Merchant 192,0,30.0,1609.75,91.0,97.15,30.0,6.0,29.0,100.0,Critical,30,0,30,0.011769,0.00087971,60.41,Review high-risk graph entity and connected transaction network.
CENTRALITY-000076,MER000108,Merchant,Money Transfer Merchant 108,0,35.0,2026.6299999999999,83.0,99.99,34.0,7.0,12.0,100.0,Critical,35,0,35,0.013731,0.00063486,60.4,Review high-risk graph entity and connected transaction network.
CENTRALITY-000077,MER000241,Merchant,Cash Withdrawal Merchant 241,0,35.0,1868.46,82.0,99.07,35.0,8.0,33.0,100.0,Critical,35,0,35,0.013731,0.00058786,60.39,Review high-risk graph entity and connected transaction network.
CENTRALITY-000078,MER000065,Merchant,Money Transfer Merchant 065,0,26.0,1897.08,73.0,99.13,26.0,5.0,12.0,100.0,Critical,26,0,26,0.0102,0.00092515,60.39,Review high-risk graph entity and connected transaction network.
CENTRALITY-000079,MER000206,Merchant,Money Transfer Merchant 206,0,27.0,2269.2200000000003,81.0,97.72,27.0,4.0,27.0,100.0,Critical,27,0,27,0.010592,0.00083842,60.38,Review high-risk graph entity and connected transaction network.
CENTRALITY-000080,MER000107,Merchant,Gambling Merchant 107,0,45.0,3736.89,76.0,98.35,44.0,4.0,19.0,99.62,Critical,45,0,45,0.017654,0.00105783,60.34,Review high-risk graph entity and connected transaction network.
CENTRALITY-000081,ACC001275,Account,ACC001275,0,21.0,1377.8500000000001,100.0,96.4,18.0,4.0,9.0,100.0,Critical,3,26,29,0.011377,0.00055189,60.34,Review high-risk graph entity and connected transaction network.
CENTRALITY-000082,ACC001170,Account,ACC001170,0,19.0,10661.72,78.0,97.18,14.0,4.0,11.0,100.0,Critical,3,19,22,0.008631,0.00066661,60.31,Review high-risk graph entity and connected transaction network.
CENTRALITY-000083,ACC000550,Account,ACC000550,0,15.0,5701.14,100.0,97.95,14.0,5.0,14.0,100.0,Critical,4,21,25,0.009808,0.00035682,60.27,Review high-risk graph entity and connected transaction network.
CENTRALITY-000084,ACC000192,Account,ACC000192,0,18.0,6827.47,97.0,97.93,18.0,2.0,13.0,100.0,Critical,4,20,24,0.009415,0.00029447,60.25,Review high-risk graph entity and connected transaction network.
CENTRALITY-000085,ACC000666,Account,ACC000666,0,17.0,3255.51,100.0,98.79,12.0,5.0,10.0,100.0,Critical,2,21,23,0.009023,0.0002854,60.24,Review high-risk graph entity and connected transaction network.
CENTRALITY-000086,ACC000478,Account,ACC000478,0,19.0,1149.49,100.0,96.63,18.0,1.0,10.0,100.0,Critical,2,21,23,0.009023,0.00026481,60.23,Review high-risk graph entity and connected transaction network.
CENTRALITY-000087,ACC000570,Account,ACC000570,0,16.0,3339.01,93.0,98.3,16.0,6.0,14.0,100.0,Critical,2,20,22,0.008631,0.00028428,60.23,Review high-risk graph entity and connected transaction network.
CENTRALITY-000088,ACC000733,Account,ACC000733,0,16.0,2516.58,100.0,98.9,11.0,3.0,7.0,100.0,Critical,5,17,22,0.008631,0.00029062,60.23,Review high-risk graph entity and connected transaction network.
CENTRALITY-000089,ACC001105,Account,ACC001105,0,13.0,685.04,100.0,93.48,11.0,2.0,10.0,100.0,Critical,4,17,21,0.008239,0.00030822,60.23,Review high-risk graph entity and connected transaction network.
CENTRALITY-000090,ACC000020,Account,ACC000020,0,12.0,7606.94,88.0,96.77,12.0,4.0,12.0,100.0,Critical,4,15,19,0.007454,0.00038112,60.23,Review high-risk graph entity and connected transaction network.
CENTRALITY-000091,ACC000676,Account,ACC000676,0,11.0,4177.110000000001,100.0,99.23,8.0,3.0,8.0,100.0,Critical,4,13,17,0.006669,0.0004912,60.23,Review high-risk graph entity and connected transaction network.
CENTRALITY-000092,ACC000835,Account,ACC000835,0,14.0,12729.67,91.0,99.36,8.0,7.0,5.0,100.0,Critical,2,15,17,0.006669,0.0004654,60.23,Review high-risk graph entity and connected transaction network.
CENTRALITY-000093,ACC000291,Account,ACC000291,0,14.0,713.54,100.0,96.87,8.0,3.0,7.0,100.0,Critical,3,18,21,0.008239,0.00027836,60.22,Review high-risk graph entity and connected transaction network.
CENTRALITY-000094,ACC000031,Account,ACC000031,0,17.0,991.28,85.0,94.22,17.0,3.0,11.0,100.0,Critical,3,17,20,0.007846,0.00029062,60.22,Review high-risk graph entity and connected transaction network.
CENTRALITY-000095,ACC000604,Account,ACC000604,0,22.0,1532.96,76.0,99.24,11.0,4.0,10.0,99.93,Critical,2,22,24,0.009415,0.0003225,60.21,Review high-risk graph entity and connected transaction network.
CENTRALITY-000096,ACC001154,Account,ACC001154,0,16.0,1044.54,100.0,95.18,10.0,1.0,7.0,100.0,Critical,1,19,20,0.007846,0.00025145,60.21,Review high-risk graph entity and connected transaction network.
CENTRALITY-000097,ACC001049,Account,ACC001049,0,14.0,6379.42,100.0,90.15,14.0,1.0,9.0,100.0,Critical,1,18,19,0.007454,0.00025145,60.2,Review high-risk graph entity and connected transaction network.
CENTRALITY-000098,ACC000571,Account,ACC000571,0,13.0,6220.0,77.0,99.66,10.0,6.0,7.0,100.0,Critical,3,15,18,0.007062,0.00027651,60.2,Review high-risk graph entity and connected transaction network.
CENTRALITY-000099,ACC000777,Account,ACC000777,0,12.0,4150.04,100.0,99.68,7.0,5.0,6.0,100.0,Critical,4,13,17,0.006669,0.00032431,60.2,Review high-risk graph entity and connected transaction network.
CENTRALITY-000100,ACC001168,Account,ACC001168,0,10.0,582.35,93.0,97.16,10.0,2.0,7.0,100.0,Critical,5,11,16,0.006277,0.00036376,60.2,Review high-risk graph entity and connected transaction network.
CENTRALITY-000101,ACC000296,Account,ACC000296,0,11.0,9368.56,100.0,99.85,11.0,1.0,4.0,100.0,Critical,3,14,17,0.006669,0.00025983,60.19,Review high-risk graph entity and connected transaction network.
CENTRALITY-000102,ACC000849,Account,ACC000849,0,11.0,4085.1,82.0,98.32,11.0,5.0,10.0,100.0,Critical,3,14,17,0.006669,0.00026365,60.19,Review high-risk graph entity and connected transaction network.
CENTRALITY-000103,ACC000213,Account,ACC000213,0,17.0,1227.7,100.0,97.83,10.0,5.0,5.0,100.0,Critical,1,15,16,0.006277,0.00025145,60.18,Review high-risk graph entity and connected transaction network.
CENTRALITY-000104,ACC000667,Account,ACC000667,0,11.0,4924.21,83.0,99.69,10.0,5.0,6.0,100.0,Critical,3,12,15,0.005885,0.00029987,60.18,Review high-risk graph entity and connected transaction network.
CENTRALITY-000105,ACC000076,Account,ACC000076,0,11.0,4493.9,100.0,97.31,11.0,3.0,11.0,100.0,Critical,2,13,15,0.005885,0.00026712,60.17,Review high-risk graph entity and connected transaction network.
CENTRALITY-000106,ACC000151,Account,ACC000151,0,10.0,543.4300000000001,100.0,99.49,10.0,4.0,10.0,100.0,Critical,3,12,15,0.005885,0.00026216,60.17,Review high-risk graph entity and connected transaction network.
CENTRALITY-000107,ACC000505,Account,ACC000505,0,11.0,2717.71,100.0,98.48,6.0,6.0,4.0,100.0,Critical,3,12,15,0.005885,0.00026515,60.17,Review high-risk graph entity and connected transaction network.
CENTRALITY-000108,ACC000535,Account,ACC000535,0,10.0,5073.02,100.0,99.73,10.0,4.0,7.0,100.0,Critical,2,11,13,0.0051,0.00028359,60.16,Review high-risk graph entity and connected transaction network.
CENTRALITY-000109,MER000176,Merchant,Cash Withdrawal Merchant 176,0,40.0,10192.57,69.0,97.02,39.0,6.0,12.0,99.01,Critical,39,0,39,0.0153,0.00218489,60.15,Review high-risk graph entity and connected transaction network.
CENTRALITY-000110,ACC000828,Account,ACC000828,0,12.0,832.84,93.0,96.14,10.0,5.0,9.0,100.0,Critical,1,12,13,0.0051,0.00025145,60.15,Review high-risk graph entity and connected transaction network.
CENTRALITY-000111,ACC000340,Account,ACC000340,0,10.0,631.94,98.0,99.43,10.0,7.0,10.0,100.0,Critical,2,10,12,0.004708,0.00026605,60.15,Review high-risk graph entity and connected transaction network.
CENTRALITY-000112,ACC001136,Account,ACC001136,0,11.0,593.56,81.0,99.88,11.0,5.0,6.0,99.91,Critical,1,14,15,0.005885,0.00025145,60.11,Review high-risk graph entity and connected transaction network.
CENTRALITY-000113,CUST000213,Customer,Daniel Smith,0,13.0,993.6,85.0,98.43,12.0,7.0,8.0,100.0,Critical,0,4,4,0.001569,0.00025145,60.08,Review high-risk graph entity and connected transaction network.
CENTRALITY-000114,CUST000493,Customer,Adam Ahmed,0,12.0,2519.2999999999997,100.0,99.58,9.0,4.0,7.0,100.0,Critical,0,4,4,0.001569,0.00025145,60.08,Review high-risk graph entity and connected transaction network.
CENTRALITY-000115,CUST000580,Customer,Muhammad Ali,0,13.0,775.22,100.0,97.73,13.0,4.0,13.0,100.0,Critical,0,4,4,0.001569,0.00025145,60.08,Review high-risk graph entity and connected transaction network.
CENTRALITY-000116,CUST000178,Customer,Grace Davies,0,17.0,12567.59,91.0,99.36,9.0,8.0,6.0,100.0,Critical,0,3,3,0.001177,0.00025145,60.07,Review high-risk graph entity and connected transaction network.
CENTRALITY-000117,CUST000812,Customer,Muhammad Young,1,11.0,613.24,93.0,91.45,11.0,1.0,1.0,100.0,Critical,0,3,3,0.001177,0.00025145,60.07,Review high-risk graph entity and connected transaction network.
CENTRALITY-000118,CUST000902,Customer,Zara Khan,0,13.0,609.21,100.0,98.69,9.0,3.0,7.0,100.0,Critical,0,3,3,0.001177,0.00025145,60.07,Review high-risk graph entity and connected transaction network.
CENTRALITY-000119,CUST000942,Customer,Fatima Thomas,0,19.0,726.69,67.0,98.42,14.0,10.0,7.0,100.0,Critical,0,3,3,0.001177,0.00025145,60.07,Review high-risk graph entity and connected transaction network.
CENTRALITY-000120,CUST001000,Customer,Hannah Hussain,0,12.0,872.85,98.0,98.8,12.0,3.0,3.0,100.0,Critical,0,3,3,0.001177,0.00025145,60.07,Review high-risk graph entity and connected transaction network.
CENTRALITY-000121,CUST000030,Customer,Leo Wilson,0,15.0,6213.97,100.0,91.62,11.0,1.0,8.0,100.0,Critical,0,2,2,0.000785,0.00025145,60.07,Review high-risk graph entity and connected transaction network.
CENTRALITY-000122,CUST000188,Customer,Leo Davies,0,12.0,13854.48,100.0,98.94,7.0,4.0,6.0,100.0,Critical,0,2,2,0.000785,0.00025145,60.07,Review high-risk graph entity and connected transaction network.
CENTRALITY-000123,CUST000247,Customer,Isabella Thomas,0,14.0,654.59,100.0,93.09,10.0,1.0,6.0,100.0,Critical,0,2,2,0.000785,0.00025145,60.07,Review high-risk graph entity and connected transaction network.
